,bug_id,commit,repo,filename,lineNumber,start time,end time
24,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,349,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
25,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,350,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
26,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,351,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
27,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,352,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
28,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,353,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
29,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,354,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
30,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,355,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
306,youtube-dl-7,d01949dc89feb2441f251e42e8a6bfa4711b9715,youtube-dl,test/test_utils.py,498,2015-10-20 23:09:51+06:00,2024-08-06 20:59:09+01:00
307,youtube-dl-7,d01949dc89feb2441f251e42e8a6bfa4711b9715,youtube-dl,test/test_utils.py,499,2015-10-20 23:09:51+06:00,2024-08-06 20:59:09+01:00
308,youtube-dl-7,d01949dc89feb2441f251e42e8a6bfa4711b9715,youtube-dl,test/test_utils.py,500,2015-10-20 23:09:51+06:00,2024-08-06 20:59:09+01:00
309,youtube-dl-7,d01949dc89feb2441f251e42e8a6bfa4711b9715,youtube-dl,youtube_dl/utils.py,1704,2015-10-20 23:09:51+06:00,2016-03-29 14:26:24-03:00
310,youtube-dl-7,d01949dc89feb2441f251e42e8a6bfa4711b9715,youtube-dl,youtube_dl/utils.py,1705,2015-10-20 23:09:51+06:00,2016-03-29 14:26:24-03:00
369,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,81,2016-01-18 14:44:04+03:00,2016-06-08 16:49:33+02:00
370,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,95,2016-01-18 14:44:04+03:00,2016-01-19 18:24:58+03:00
371,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,96,2016-01-18 14:44:04+03:00,2016-01-19 18:24:58+03:00
372,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,97,2016-01-18 14:44:04+03:00,2016-01-19 18:24:58+03:00
373,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,98,2016-01-18 14:44:04+03:00,2016-01-19 18:24:58+03:00
374,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,99,2016-01-18 14:44:04+03:00,2016-01-19 18:24:58+03:00
375,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,101,2016-01-18 14:44:04+03:00,2016-03-01 16:34:13+05:00
376,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,102,2016-01-18 14:44:04+03:00,2016-03-01 16:34:13+05:00
377,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,scrapy/core/downloader/handlers/http11.py,103,2016-01-18 14:44:04+03:00,2016-03-01 16:34:13+05:00
383,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,391,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
384,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,392,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
385,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,393,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
386,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,394,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
387,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,395,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
388,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,396,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
389,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,397,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
390,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,398,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
391,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,399,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
392,scrapy-24,0f527849f2e8eddaf5d756b061699f2eca522a18,scrapy,tests/test_downloader_handlers.py,400,2016-01-18 14:44:04+03:00,2016-01-18 15:00:43+03:00
585,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,2,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
586,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,610,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
587,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,611,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
588,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,622,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
589,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,663,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
590,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,664,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
591,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,665,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
592,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,666,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
593,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,667,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
594,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,668,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
595,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,669,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
596,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,670,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
597,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,671,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
598,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,672,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
599,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,673,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
600,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,674,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
601,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,675,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
602,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,676,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
603,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,677,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
604,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,678,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
605,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,679,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
606,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,680,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
607,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,681,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
608,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,test/test_YoutubeDL.py,682,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
609,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2386,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
610,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2395,2017-02-15 23:12:10+07:00,2019-05-11 03:57:40+07:00
611,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2396,2017-02-15 23:12:10+07:00,2019-05-11 03:57:40+07:00
612,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2406,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
613,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2407,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
614,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2408,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
615,youtube-dl-22,db13c16ef8968613680e2bbc85f373c3e74faf98,youtube-dl,youtube_dl/utils.py,2409,2017-02-15 23:12:10+07:00,2024-08-06 20:59:09+01:00
882,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,blib2to3/pgen2/driver.py,134,2019-02-04 18:55:01-08:00,2019-10-15 11:56:28-07:00
886,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,512,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
887,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,513,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
888,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,514,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
889,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,515,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
890,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,516,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
891,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,517,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
892,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,518,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
893,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,519,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
894,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,520,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
895,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,521,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
896,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,522,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
897,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,523,2019-02-04 18:55:01-08:00,2019-03-14 17:17:50+01:00
898,black-10,66aa676278948368dff251dffd58c850cb8b889e,black,tests/test_black.py,524,2019-02-04 18:55:01-08:00,2024-09-30 08:00:31-07:00
1035,youtube-dl-43,d6c7a367e88096bb17e323954002c084477fe908,youtube-dl,test/test_utils.py,191,2013-12-17 12:32:58+01:00,2024-08-06 20:59:09+01:00
1036,youtube-dl-43,d6c7a367e88096bb17e323954002c084477fe908,youtube-dl,test/test_utils.py,192,2013-12-17 12:32:58+01:00,2014-08-27 15:56:27+02:00
1037,youtube-dl-43,d6c7a367e88096bb17e323954002c084477fe908,youtube-dl,test/test_utils.py,193,2013-12-17 12:32:58+01:00,2014-08-27 15:56:27+02:00
1038,youtube-dl-43,d6c7a367e88096bb17e323954002c084477fe908,youtube-dl,youtube_dl/utils.py,1090,2013-12-17 12:32:58+01:00,2013-12-17 12:35:57+01:00
1080,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3335,2020-05-19 21:52:37-04:00,2022-01-29 16:27:49+01:00
1081,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3336,2020-05-19 21:52:37-04:00,2021-07-10 00:19:23+02:00
1082,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3337,2020-05-19 21:52:37-04:00,2021-07-10 00:19:23+02:00
1083,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3607,2020-05-19 21:52:37-04:00,2022-01-29 16:27:49+01:00
1084,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3608,2020-05-19 21:52:37-04:00,2021-07-10 00:19:23+02:00
1085,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/axes/_base.py,3609,2020-05-19 21:52:37-04:00,2021-07-10 00:19:23+02:00
1086,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6216,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1087,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6217,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1088,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6218,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1089,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6219,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1090,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6220,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1091,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6221,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1092,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6222,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1093,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6223,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1094,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6224,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1095,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6225,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1096,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6226,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1097,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6227,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1098,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6228,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1099,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6229,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1100,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6230,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1101,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6231,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1102,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6232,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1103,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6233,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1104,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6234,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1105,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6235,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1106,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6236,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1107,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6237,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1108,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6238,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1109,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6239,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1110,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6240,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1111,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6241,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1112,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6242,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1113,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6243,2020-05-19 21:52:37-04:00,2020-12-16 15:12:24-05:00
1114,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6244,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1115,matplotlib-8,2f41868de465b86d2fc357f7ed58ff323d58030f,matplotlib,lib/matplotlib/tests/test_axes.py,6245,2020-05-19 21:52:37-04:00,2024-10-02 15:23:38-05:00
1404,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,test/test_youtube_chapters.py,270,2020-06-06 04:22:10+07:00,2021-02-01 14:53:01+01:00
1406,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1655,2020-06-06 04:22:10+07:00,2021-01-30 13:44:01+01:00
1407,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1656,2020-06-06 04:22:10+07:00,2021-01-30 13:44:01+01:00
1408,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1657,2020-06-06 04:22:10+07:00,2021-01-30 13:44:01+01:00
1409,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1658,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1410,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1659,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1411,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1660,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1412,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1661,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1413,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1662,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1414,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1663,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1415,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1664,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
1416,youtube-dl-14,84213ea8d41d5fe1608333a16ac578dccdf9a915,youtube-dl,youtube_dl/extractor/youtube.py,1665,2020-06-06 04:22:10+07:00,2020-11-17 03:59:54+07:00
